Stock_Code,Stock_Name,Stock_Code1,Stock_Name1,Start_Date
600359,  ????????,600359,  ????????,  1999-04-29
600360,  ????????,600360,  ????????,  2001-03-16
600361,  ????????,600361,  ????????,  2001-11-29
600362,  ????????,600362,  ????????,  2002-01-11
600363,  ????????,600363,  ????????,  2001-03-29
600365,  ST????,600365,  ST????,  2001-01-15
600366,  ????????,600366,  ????????,  2000-10-30
600367,  ????????,600367,  ????????,  2001-03-20
600368,  ????????,600368,  ????????,  2000-12-21
600369,  ????????,600369,  ????????,  2001-01-09
600370,  ??????,600370,  ??????,  2003-03-06
600371,  ????????,600371,  ????????,  2002-09-16
600372,  ????????,600372,  ????????,  2001-07-06
600373,  ????????,600373,  ????????,  2002-03-04
600375,  ????????,600375,  ????????,  2003-04-01
600376,  ????????,600376,  ????????,  2001-03-12
600377,  ????????,600377,  ????????,  2001-01-16
600378,  ????????,600378,  ????????,  2001-01-11
600379,  ????????,600379,  ????????,  2002-01-16
600380,  ??????,600380,  ??????,  2001-06-08
600381,  ????????,600381,  ????????,  2001-05-08
600382,  *ST????,600382,  *ST????,  2001-01-18
600383,  ????????,600383,  ????????,  2001-04-12
600385,  *ST????,600385,  *ST????,  2001-07-23
600386,  ????????,600386,  ????????,  2001-02-16
600387,  ST????,600387,  ST????,  2004-02-18
600388,  ????????,600388,  ????????,  2000-12-29
600389,  ????????,600389,  ????????,  2001-01-10
600390,  ????????,600390,  ????????,  2001-01-15
600391,  ????????,600391,  ????????,  2001-12-12
600392,  ????????,600392,  ????????,  2003-05-29
600393,  ST????,600393,  ST????,  2001-03-19
600395,  ????????,600395,  ????????,  2001-05-31
600396,  ????????,600396,  ????????,  2001-03-28
600397,  ????????,600397,  ????????,  2002-07-02
600398,  ????????,600398,  ????????,  2000-12-28
600399,  ????????,600399,  ????????,  2000-12-29
600400,  ????????,600400,  ????????,  2001-01-08
600403,  ST????,600403,  ST????,  2003-10-09
600405,  ??????,600405,  ??????,  2004-04-01
600406,  ????????,600406,  ????????,  2003-10-16
600408,  ST????,600408,  ST????,  2003-02-12
600409,  ????????,600409,  ????????,  2003-06-18
600410,  ????????,600410,  ????????,  2004-04-27
600415,  ????????,600415,  ????????,  2002-05-09
600416,  ????????,600416,  ????????,  2002-07-18
600418,  ????????,600418,  ????????,  2001-08-24
600419,  ????????,600419,  ????????,  2001-06-28
600420,  ????????,600420,  ????????,  2004-06-16
600421,  ????????,600421,  ????????,  2004-06-07
600422,  ????????,600422,  ????????,  2000-12-06
600423,  ????????,600423,  ????????,  2003-07-17
600425,  ????????,600425,  ????????,  2003-07-24
600426,  ????????,600426,  ????????,  2002-06-20
600428,  ????????,600428,  ????????,  2002-04-18
600429,  ????????,600429,  ????????,  2003-09-15
600433,  ????????,600433,  ????????,  2003-06-19
600435,  ????????,600435,  ????????,  2003-07-04
600436,  ??????,600436,  ??????,  2003-06-16
600438,  ????????,600438,  ????????,  2004-03-02
600439,  ??????,600439,  ??????,  2003-07-10
600444,  ????????,600444,  ????????,  2004-02-19
600446,  ????????,600446,  ????????,  2003-12-24
600448,  ????????,600448,  ????????,  2001-09-03
600449,  ????????,600449,  ????????,  2003-08-29
600452,  ????????,600452,  ????????,  2004-03-03
600455,  ????????,600455,  ????????,  2004-03-29
600456,  ????????,600456,  ????????,  2002-04-12
600458,  ????????,600458,  ????????,  2002-12-19
600459,  ????????,600459,  ????????,  2003-05-16
600460,  ??????,600460,  ??????,  2003-03-11
